Name,Tm,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,FIP,WHIP,H9,BB,SO9,DateTime
German Marquez,COL,3,1,2.54,6,6,0,39.0,31,11,11,4,10,37,3.49,1.051,7.2,10,8.5,2019-05-04 10:49:57
Chris Martin,TEX,0,2,4.35,10,0,0,10.1,11,5,5,3,2,8,5.94,1.258,9.6,2,7.0,2019-05-04 10:49:57
Steven Matz,NYM,2,1,4.03,5,5,0,22.1,19,14,10,5,8,25,5.01,1.209,7.7,8,10.1,2019-05-04 10:49:57
Trevor May,MIN,1,1,3.38,13,0,0,10.2,9,4,4,0,5,10,2.66,1.3130000000000002,7.6,5,8.4,2019-05-04 10:49:57
Mike Mayers,STL,0,1,5.4,8,0,0,8.1,10,5,5,2,5,8,6.49,1.8,10.8,5,8.6,2019-05-04 10:49:57
Kevin McCarthy,KCR,0,1,19.64,6,0,0,3.2,10,8,8,1,4,0,10.77,3.818,24.5,4,0.0,2019-05-04 10:49:57
Collin McHugh,HOU,3,2,4.78,6,6,0,32.0,24,18,17,6,10,37,4.38,1.063,6.8,10,10.4,2019-05-04 10:49:57
John Means,BAL,3,2,1.74,7,3,0,20.2,17,8,4,2,6,23,3.33,1.113,7.4,6,10.0,2019-05-04 10:49:57
Adalberto Mejia,MIN,0,1,6.55,10,0,0,11.0,10,8,8,2,6,10,5.31,1.455,8.2,6,8.2,2019-05-04 10:49:57
Miles Mikolas,STL,2,2,5.29,6,6,0,34.0,34,21,20,8,8,19,6.04,1.235,9.0,8,5.0,2019-05-04 10:49:57
Wade Miley,HOU,1,2,3.58,5,5,0,27.2,25,11,11,3,5,18,3.89,1.084,8.1,5,5.9,2019-05-04 10:49:57
Andrew Miller,STL,1,1,6.1,14,0,0,10.1,11,9,7,4,9,15,8.75,1.935,9.6,9,13.1,2019-05-04 10:49:57
Shelby Miller,TEX,1,1,7.52,5,5,0,20.1,24,18,17,4,18,10,7.66,2.066,10.6,18,4.4,2019-05-04 10:49:57
Mike Minor,TEX,3,2,2.88,6,6,0,40.2,25,13,13,5,12,39,3.85,0.91,5.5,12,8.6,2019-05-04 10:49:57
A.J. Minter,ATL,0,3,9.72,10,0,3,8.1,10,9,9,2,6,11,5.77,1.92,10.8,6,11.9,2019-05-04 10:49:57
Frankie Montas,OAK,4,1,3.1,5,5,0,29.0,25,10,10,4,8,26,4.17,1.138,7.8,8,8.1,2019-05-04 10:49:57
Reyes Moronta,SFG,0,2,2.45,10,0,0,11.0,6,3,3,1,4,18,2.13,0.909,4.9,4,14.7,2019-05-04 10:49:57
Charlie Morton,TBR,3,0,2.76,6,6,0,32.2,21,10,10,2,16,39,3.38,1.133,5.8,16,10.7,2019-05-04 10:49:57
Joe Musgrove,PIT,1,2,2.06,6,5,0,35.0,25,10,8,1,7,31,2.5,0.914,6.4,7,8.0,2019-05-04 10:49:57
Hector Neris,PHI,0,1,2.92,12,0,4,12.1,9,4,4,2,3,19,3.13,0.973,6.6,3,13.9,2019-05-04 10:49:57
Pat Neshek,PHI,0,1,2.45,12,0,1,11.0,13,4,3,1,1,5,3.68,1.273,10.6,1,4.1,2019-05-04 10:49:57
Juan Nicasio,PHI,0,1,5.84,9,0,0,12.1,14,8,8,1,6,9,4.43,1.6219999999999999,10.2,6,6.6,2019-05-04 10:49:57
Aaron Nola,PHI,2,0,5.68,6,6,0,31.2,37,21,20,7,13,32,5.41,1.579,10.5,13,9.1,2019-05-04 10:49:57
Daniel Norris,DET,1,0,3.93,5,2,0,18.1,23,8,8,4,6,15,5.31,1.5819999999999999,11.3,6,7.4,2019-05-04 10:49:57
Ivan Nova,CHW,0,3,8.42,5,5,0,25.2,39,24,24,4,6,18,4.57,1.7530000000000001,13.7,6,6.3,2019-05-04 10:49:57
Jake Odorizzi,MIN,2,2,4.37,5,5,0,22.2,18,12,11,2,10,23,3.71,1.235,7.1,10,9.1,2019-05-04 10:49:57
Seunghwan Oh,COL,1,0,4.5,11,0,0,10.0,12,5,5,2,2,10,4.33,1.4,10.8,2,9.0,2019-05-04 10:49:57
Corey Oswalt,NYM,0,1,12.15,2,0,0,6.2,9,9,9,1,6,5,6.28,2.25,12.2,6,6.8,2019-05-04 10:49:57
Adam Ottavino,NYY,1,1,2.51,12,0,0,14.1,9,4,4,2,11,19,4.6,1.395,5.7,11,11.9,2019-05-04 10:49:57
Chris Paddack,SDP,1,1,1.67,5,5,0,27.0,10,6,5,2,8,30,2.87,0.667,3.3,8,10.0,2019-05-04 10:49:57
Thomas Pannone,TOR,1,2,4.2,9,1,0,15.0,12,7,7,2,3,18,3.27,1.0,7.2,3,10.8,2019-05-04 10:49:57
Blake Parker,MIN,0,1,1.23,9,0,4,7.1,3,1,1,0,5,6,3.54,1.091,3.7,5,7.4,2019-05-04 10:49:57
Wes Parsons,ATL,1,1,4.35,12,0,0,10.1,7,6,5,1,8,10,4.78,1.452,6.1,8,8.7,2019-05-04 10:49:57
James Paxton,NYY,3,2,3.38,6,6,0,34.2,30,14,13,3,10,51,2.27,1.1540000000000001,7.8,10,13.2,2019-05-04 10:49:57
Brad Peacock,HOU,2,1,3.67,6,4,0,27.0,20,12,11,3,7,24,3.58,1.0,6.7,7,8.0,2019-05-04 10:49:57
Felix Pena,LAA,0,1,3.63,5,4,0,22.1,17,11,9,4,7,22,4.83,1.075,6.9,7,8.9,2019-05-04 10:49:57
Freddy Peralta,MIL,1,0,7.13,4,4,0,17.2,20,14,14,5,7,22,5.85,1.528,10.2,7,11.2,2019-05-04 10:49:57
Wily Peralta,KCR,2,1,5.25,12,0,1,12.0,11,7,7,1,6,7,4.55,1.4169999999999998,8.3,6,5.3,2019-05-04 10:49:57
Martin Perez,MIN,3,0,4.44,6,3,0,26.1,30,14,13,2,12,23,3.85,1.595,10.3,12,7.9,2019-05-04 10:49:57
Yusmeiro Petit,OAK,0,1,2.93,14,0,0,15.1,10,5,5,3,2,8,5.02,0.7829999999999999,5.9,2,4.7,2019-05-04 10:49:57
Michael Pineda,MIN,2,1,5.63,5,5,0,24.0,28,15,15,4,5,20,4.26,1.375,10.5,5,7.5,2019-05-04 10:49:57
Nick Pivetta,PHI,2,1,8.35,4,4,0,18.1,31,18,17,5,8,16,6.41,2.127,15.2,8,7.9,2019-05-04 10:49:57
Drew Pomeranz,SFG,1,2,3.65,5,5,0,24.2,24,10,10,4,10,28,4.31,1.3780000000000001,8.8,10,10.2,2019-05-04 10:49:57
Rick Porcello,BOS,1,3,7.43,5,5,0,23.0,34,24,19,5,15,20,6.31,2.13,13.3,15,7.8,2019-05-04 10:49:57
David Price,BOS,1,2,3.6,5,5,0,30.0,24,12,12,4,8,37,3.2,1.067,7.2,8,11.1,2019-05-04 10:49:57
Jose Quintana,CHC,3,1,3.21,5,4,0,28.0,27,12,10,3,9,36,2.92,1.286,8.7,9,11.6,2019-05-04 10:49:57
Neil Ramirez,CLE,0,1,7.2,10,0,0,10.0,13,9,8,4,5,13,7.23,1.8,11.7,5,11.7,2019-05-04 10:49:57
Noe Ramirez,LAA,1,0,3.14,9,0,0,14.1,10,5,5,3,5,18,4.39,1.047,6.3,5,11.3,2019-05-04 10:49:57
Robbie Ray,ARI,1,1,4.18,6,6,0,32.1,23,15,15,4,17,37,4.12,1.237,6.4,17,10.3,2019-05-04 10:49:57
Sean Reid-Foley,TOR,0,1,13.5,1,1,0,2.0,4,5,3,1,2,3,11.13,3.0,18.0,2,13.5,2019-05-04 10:49:57
Alex Reyes,STL,0,1,15.0,4,0,0,3.0,2,5,5,1,6,1,12.8,2.667,6.0,6,3.0,2019-05-04 10:49:57
Gerardo Reyes,SDP,1,0,36.0,2,0,0,1.0,3,4,4,0,1,2,2.13,4.0,27.0,1,18.0,2019-05-04 10:49:57
Trevor Richards,MIA,0,4,4.64,6,6,0,33.0,26,17,17,5,18,31,5.13,1.3330000000000002,7.1,18,8.5,2019-05-04 10:49:57
Tanner Roark,CIN,1,1,3.24,5,5,0,25.0,29,10,9,2,11,24,3.81,1.6,10.4,11,8.6,2019-05-04 10:49:57
David Robertson,PHI,0,1,5.4,7,0,0,6.2,8,4,4,1,6,6,5.98,2.1,10.8,6,8.1,2019-05-04 10:49:57
Hansel Robles,LAA,1,0,3.0,14,1,1,12.0,8,4,4,1,3,16,2.3,0.917,6.0,3,12.0,2019-05-04 10:49:57
Fernando Rodney,OAK,0,1,6.55,12,0,0,11.0,13,8,8,0,7,11,3.04,1.818,10.6,7,9.0,2019-05-04 10:49:57
Carlos Rodon,CHW,3,2,4.94,6,6,0,31.0,28,19,17,4,15,40,3.78,1.3869999999999998,8.1,15,11.6,2019-05-04 10:49:57
Dereck Rodriguez,SFG,3,2,3.54,5,5,0,28.0,23,11,11,4,5,22,4.06,1.0,7.4,5,7.1,2019-05-04 10:49:57
Eduardo Rodriguez,BOS,2,2,5.88,5,5,0,26.0,28,19,17,4,10,28,4.25,1.462,9.7,10,9.7,2019-05-04 10:49:57
Jefry Rodriguez,CLE,0,1,2.13,2,2,0,12.2,8,3,3,1,2,6,3.69,0.789,5.7,2,4.3,2019-05-04 10:49:57
Richard Rodriguez,PIT,0,1,3.75,14,0,1,12.0,12,6,5,4,4,12,6.72,1.3330000000000002,9.0,4,9.0,2019-05-04 10:49:57
Chaz Roe,TBR,0,2,3.52,12,0,0,7.2,8,3,3,1,8,10,5.35,2.0869999999999997,9.4,8,11.7,2019-05-04 10:49:57
Sergio Romo,MIA,1,0,6.0,10,0,4,9.0,7,6,6,1,4,7,4.36,1.222,7.0,4,7.0,2019-05-04 10:49:57
Hector Rondon,HOU,2,1,2.79,10,0,0,9.2,10,3,3,1,2,9,3.55,1.2409999999999999,9.3,2,8.4,2019-05-04 10:49:57
Trevor Rosenthal,WSN,0,1,36.0,7,0,0,3.0,7,12,12,0,9,3,13.13,5.332999999999999,21.0,9,9.0,2019-05-04 10:49:57
Tyson Ross,DET,1,3,4.03,5,5,0,29.0,28,17,13,4,12,22,4.65,1.379,8.7,12,6.8,2019-05-04 10:49:57
Zac Rosscup,SEA,2,0,2.35,12,0,0,7.2,7,5,2,1,9,11,5.48,2.0869999999999997,8.2,9,12.9,2019-05-04 10:49:57
Hyun-Jin Ryu,LAD,3,1,2.96,5,5,0,27.1,26,9,9,6,2,33,3.79,1.024,8.6,2,10.9,2019-05-04 10:49:57
CC Sabathia,NYY,1,0,2.4,3,3,0,15.0,10,6,4,3,4,11,5.07,0.9329999999999999,6.0,4,6.6,2019-05-04 10:49:57
Chris Sale,BOS,0,4,7.43,5,5,0,23.0,28,19,19,6,7,24,5.61,1.5219999999999998,11.0,7,9.4,2019-05-04 10:49:57
Jeff Samardzija,SFG,2,1,3.0,5,5,0,27.0,22,10,9,3,9,24,3.8,1.148,7.3,9,8.0,2019-05-04 10:49:57
Adrian Sampson,TEX,0,1,4.5,6,2,0,22.0,24,11,11,4,8,14,5.45,1.455,9.8,8,5.7,2019-05-04 10:49:57
Aaron Sanchez,TOR,3,1,2.32,6,6,0,31.0,21,12,8,2,20,27,4.46,1.3230000000000002,6.1,20,7.8,2019-05-04 10:49:57
Anibal Sanchez,WSN,0,3,6.0,5,5,0,27.0,32,18,18,4,16,20,5.36,1.778,10.7,16,6.7,2019-05-04 10:49:57
Ervin Santana,CHW,0,2,9.45,3,3,0,13.1,19,14,14,6,6,5,9.58,1.875,12.8,6,3.4,2019-05-04 10:49:57
Max Scherzer,WSN,1,3,4.12,6,6,0,39.1,39,20,18,4,5,54,2.24,1.119,8.9,5,12.4,2019-05-04 10:49:57
Antonio Senzatela,COL,2,1,3.93,3,3,0,18.1,20,8,8,2,5,11,4.33,1.364,9.8,5,5.4,2019-05-04 10:49:57
Bryan Shaw,COL,1,0,1.13,13,0,0,16.0,10,3,2,1,7,6,4.7,1.063,5.6,7,3.4,2019-05-04 10:49:57
Matt Shoemaker,TOR,3,0,1.57,5,5,0,28.2,16,7,5,3,9,24,3.87,0.872,5.0,9,7.5,2019-05-04 10:49:57
Tony Sipp,WSN,0,1,9.53,12,0,0,5.2,8,6,6,0,1,5,2.43,1.588,12.7,1,7.9,2019-05-04 10:49:57
Tyler Skaggs,LAA,2,2,3.15,4,4,0,20.0,20,7,7,4,5,19,4.58,1.25,9.0,5,8.6,2019-05-04 10:49:57
Caleb Smith,MIA,2,0,2.17,5,5,0,29.0,17,7,7,3,7,37,2.65,0.828,5.3,7,11.5,2019-05-04 10:49:57
Drew Smyly,TEX,0,2,7.8,4,4,0,15.0,19,13,13,4,10,19,6.27,1.933,11.4,10,11.4,2019-05-04 10:49:57
Blake Snell,TBR,2,2,2.54,5,5,0,28.1,20,9,8,5,6,39,3.31,0.9179999999999999,6.4,6,12.4,2019-05-04 10:49:57
Joakim Soria,OAK,0,2,7.3,14,0,0,12.1,13,10,10,0,7,12,3.13,1.6219999999999999,9.5,7,8.8,2019-05-04 10:49:57
Mike Soroka,ATL,1,1,1.69,2,2,0,10.2,9,2,2,0,5,13,2.66,1.3130000000000002,7.6,5,11.0,2019-05-04 10:49:57
Glenn Sparkman,KCR,0,1,8.1,3,0,0,6.2,13,6,6,1,2,3,5.08,2.25,17.6,2,4.1,2019-05-04 10:49:57
Jeffrey Springs,TEX,2,0,5.25,9,0,0,12.0,12,7,7,0,10,12,3.63,1.8330000000000002,9.0,10,9.0,2019-05-04 10:49:57
Craig Stammen,SDP,3,1,2.76,14,0,0,16.1,14,6,5,3,1,12,4.24,0.9179999999999999,7.7,1,6.6,2019-05-04 10:49:57
Drew Steckenrider,MIA,0,2,7.15,12,0,0,11.1,7,9,9,5,3,12,7.81,0.882,5.6,3,9.5,2019-05-04 10:49:57
Robert Stephenson,CIN,2,0,2.08,10,0,0,13.0,7,4,3,0,4,18,1.29,0.846,4.8,4,12.5,2019-05-04 10:49:57
Kohl Stewart,MIN,0,1,7.5,1,1,0,6.0,8,5,5,2,3,1,8.63,1.8330000000000002,12.0,3,1.5,2019-05-04 10:49:57
Robert Stock,SDP,1,0,9.0,7,0,0,6.0,7,8,6,1,6,9,5.3,2.167,10.5,6,13.5,2019-05-04 10:49:57
Matt Strahm,SDP,0,2,3.04,5,5,0,26.2,23,10,9,3,5,21,3.81,1.05,7.8,5,7.1,2019-05-04 10:49:57
Dan Straily,BAL,1,1,6.75,5,4,0,18.2,24,15,14,7,7,9,8.17,1.661,11.6,7,4.3,2019-05-04 10:49:57
Stephen Strasburg,WSN,2,1,3.82,6,6,0,37.2,28,16,16,6,10,48,3.45,1.0090000000000001,6.7,10,11.5,2019-05-04 10:49:57
Chris Stratton,LAA,0,2,7.11,6,5,0,25.1,36,20,20,4,15,21,5.3,2.013,12.8,15,7.5,2019-05-04 10:49:57
Ross Stripling,LAD,1,1,2.65,6,6,0,34.0,27,10,10,4,10,32,3.75,1.088,7.1,10,8.5,2019-05-04 10:49:57
Marcus Stroman,TOR,1,3,1.43,6,6,0,37.2,27,9,6,0,14,36,2.34,1.088,6.5,14,8.6,2019-05-04 10:49:57
Pedro Strop,CHC,1,1,3.52,9,0,3,7.2,4,3,3,1,2,7,3.79,0.7829999999999999,4.7,2,8.2,2019-05-04 10:49:57
Daniel Stumpf,DET,1,0,2.57,11,0,0,7.0,7,2,2,0,2,12,0.56,1.286,9.0,2,15.4,2019-05-04 10:49:57
Wander Suero,WSN,1,3,8.18,13,0,0,11.0,8,10,10,1,6,13,3.86,1.273,6.5,6,10.6,2019-05-04 10:49:57
Erik Swanson,SEA,0,2,4.61,3,2,0,13.2,12,8,7,3,2,12,4.67,1.024,7.9,2,7.9,2019-05-04 10:49:57
Anthony Swarzak,SEA,2,0,3.24,9,0,3,8.1,5,3,3,3,5,11,6.97,1.2,5.4,5,11.9,2019-05-04 10:49:57
Noah Syndergaard,NYM,1,3,6.35,6,6,0,34.0,40,26,24,5,10,39,3.72,1.4709999999999999,10.6,10,10.3,2019-05-04 10:49:57
Jameson Taillon,PIT,1,3,4.06,6,6,0,31.0,29,20,14,2,6,25,3.13,1.129,8.4,6,7.3,2019-05-04 10:49:57
Masahiro Tanaka,NYY,2,2,3.6,6,6,0,35.0,34,16,14,5,11,30,4.22,1.286,8.7,11,7.7,2019-05-04 10:49:57
Julio Teheran,ATL,2,3,5.4,6,6,0,31.2,33,19,19,5,17,36,4.62,1.579,9.4,17,10.2,2019-05-04 10:49:57
Trent Thornton,TOR,0,3,5.79,5,5,0,23.1,25,15,15,5,7,26,4.59,1.371,9.6,7,10.0,2019-05-04 10:49:57
Touki Toussaint,ATL,1,0,8.59,2,1,0,7.1,10,8,7,0,3,9,3.13,1.7730000000000001,12.3,3,11.0,2019-05-04 10:49:57
Blake Treinen,OAK,1,1,0.68,11,0,6,13.1,7,1,1,0,9,17,2.61,1.2,4.7,9,11.5,2019-05-04 10:49:57
Lou Trivino,OAK,1,0,1.42,12,0,0,12.2,6,2,2,1,1,16,1.87,0.5529999999999999,4.3,1,11.4,2019-05-04 10:49:57
Spencer Turnbull,DET,1,2,2.77,5,5,0,26.0,23,10,8,2,11,26,3.75,1.308,8.0,11,9.0,2019-05-04 10:49:57
Jose Urena,MIA,1,4,5.08,6,6,0,33.2,43,21,19,5,9,25,4.47,1.545,11.5,9,6.7,2019-05-04 10:49:57
Julio Urias,LAD,1,1,3.32,5,4,0,21.2,14,9,8,2,8,26,3.32,1.015,5.8,8,10.8,2019-05-04 10:49:57
Framber Valdez,HOU,0,1,4.26,4,0,0,6.1,5,3,3,0,5,8,2.98,1.579,7.1,5,11.4,2019-05-04 10:49:57
Jason Vargas,NYM,1,1,7.2,5,4,0,15.0,20,12,12,3,9,10,6.4,1.933,12.0,9,6.0,2019-05-04 10:49:57
Vince Velasquez,PHI,1,0,1.99,5,4,0,22.2,16,5,5,3,7,22,3.97,1.015,6.4,7,8.7,2019-05-04 10:49:57
Hector Velazquez,BOS,0,2,3.94,7,3,0,16.0,15,8,7,1,6,15,3.38,1.3130000000000002,8.4,6,8.4,2019-05-04 10:49:57
Drew VerHagen,DET,1,0,7.71,8,0,0,4.2,5,4,4,1,7,7,7.42,2.571,9.6,7,13.5,2019-05-04 10:49:57
Justin Verlander,HOU,4,0,2.61,6,6,0,38.0,25,11,11,6,9,46,3.71,0.895,5.9,9,10.9,2019-05-04 10:49:57
Nick Vincent,SFG,0,1,1.84,10,0,0,14.2,14,3,3,0,5,11,2.86,1.295,8.6,5,6.8,2019-05-04 10:49:57
Arodys Vizcaino,ATL,1,0,2.25,4,0,1,4.0,3,1,1,1,3,6,5.63,1.5,6.8,3,13.5,2019-05-04 10:49:57
Michael Wacha,STL,1,0,4.64,4,4,0,21.1,20,11,11,5,14,24,5.9,1.594,8.4,14,10.1,2019-05-04 10:49:57
Adam Wainwright,STL,2,2,3.96,5,5,0,25.0,24,12,11,3,10,22,4.25,1.36,8.6,10,7.9,2019-05-04 10:49:57
Marcus Walden,BOS,3,0,2.19,9,0,0,12.1,7,5,3,1,5,15,3.21,0.973,5.1,5,10.9,2019-05-04 10:49:57
Adam Warren,SDP,1,0,3.86,9,0,0,11.2,9,5,5,4,6,11,7.25,1.286,6.9,6,8.5,2019-05-04 10:49:57
Luke Weaver,ARI,2,1,3.33,5,5,0,27.0,26,11,10,2,6,31,2.58,1.185,8.7,6,10.3,2019-05-04 10:49:57
Zack Wheeler,NYM,2,2,4.85,5,5,0,29.2,26,16,16,3,14,33,3.64,1.348,7.9,14,10.0,2019-05-04 10:49:57
Taylor Williams,MIL,0,1,10.38,4,0,0,4.1,6,5,5,1,3,4,7.06,2.077,12.5,3,8.3,2019-05-04 10:49:57
Trevor Williams,PIT,1,1,2.59,5,5,0,31.1,24,10,9,2,6,21,3.48,0.9570000000000001,6.9,6,6.0,2019-05-04 10:49:57
Alex Wilson,MIL,1,1,9.53,13,0,1,11.1,15,12,12,3,9,13,6.66,2.1180000000000003,11.9,9,10.3,2019-05-04 10:49:57
Justin Wilson,NYM,1,1,3.24,9,0,1,8.1,6,4,3,2,4,8,6.49,1.2,6.5,4,8.6,2019-05-04 10:49:57
Matt Wisler,SDP,1,0,5.63,4,0,0,8.0,8,5,5,2,2,8,5.13,1.25,9.0,2,9.0,2019-05-04 10:49:57
Brandon Woodruff,MIL,3,1,5.17,6,6,0,31.1,36,18,18,4,10,38,3.61,1.4680000000000002,10.3,10,10.9,2019-05-04 10:49:57
Brandon Workman,BOS,1,1,2.25,13,0,0,12.0,2,3,3,0,10,17,2.8,1.0,1.5,10,12.8,2019-05-04 10:49:57
Kyle Wright,ATL,0,2,7.07,3,3,0,14.0,15,11,11,4,10,11,7.63,1.786,9.6,10,7.1,2019-05-04 10:49:57
Mike Wright,BAL,0,1,9.45,10,0,1,13.1,20,14,14,5,7,14,7.71,2.025,13.5,7,9.5,2019-05-04 10:49:57
Jimmy Yacabonis,BAL,1,1,6.32,10,0,0,15.2,18,11,11,4,7,6,7.22,1.5959999999999999,10.3,7,3.4,2019-05-04 10:49:57
Ryan Yarbrough,TBR,2,1,8.1,5,0,0,16.2,18,15,15,3,4,14,4.69,1.32,9.7,4,7.6,2019-05-04 10:49:57
Kyle Zimmer,KCR,0,1,9.0,3,0,0,2.0,2,2,2,0,5,2,8.63,3.5,9.0,5,9.0,2019-05-04 10:49:57
Jordan Zimmermann,DET,0,4,5.93,6,6,0,30.1,30,21,20,6,11,21,5.41,1.3519999999999999,8.9,11,6.2,2019-05-04 10:49:57
