Name,Tm,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,FIP,WHIP,H9,BB,SO9,DateTime
Zack Britton,NYY,1,0,2.45,12,0,1,11.0,9,3,3,0,7,11,3.04,1.455,7.4,7,9.0,2019-05-04 10:49:57
Aaron Brooks,OAK,2,2,5.33,5,5,0,27.0,26,16,16,6,7,23,5.1,1.222,8.7,7,7.7,2019-05-04 10:49:57
Clay Buchholz,TOR,0,1,4.6,3,3,0,15.2,18,8,8,2,3,8,4.35,1.34,10.3,3,4.6,2019-05-04 10:49:57
Ryan Buchter,OAK,0,1,7.04,13,0,0,7.2,12,7,6,1,7,12,4.83,2.478,14.1,7,14.1,2019-05-04 10:49:57
Walker Buehler,LAD,2,0,5.25,5,5,0,24.0,20,15,14,2,8,18,3.84,1.167,7.5,8,6.8,2019-05-04 10:49:57
Madison Bumgarner,SFG,1,4,4.3,6,6,0,37.2,37,23,18,5,5,35,3.56,1.115,8.8,5,8.4,2019-05-04 10:49:57
Dylan Bundy,BAL,0,3,6.56,5,5,0,23.1,25,19,17,7,10,26,6.35,1.5,9.6,10,10.0,2019-05-04 10:49:57
Nick Burdi,PIT,2,1,9.35,11,0,0,8.2,11,9,9,1,3,17,1.75,1.615,11.4,3,17.7,2019-05-04 10:49:57
Corbin Burnes,MIL,0,2,10.7,4,4,0,17.2,30,21,21,11,8,24,9.87,2.151,15.3,8,12.2,2019-05-04 10:49:57
Ryan Burr,CHW,1,0,5.68,10,0,0,12.2,11,10,8,3,4,10,5.58,1.1840000000000002,7.8,4,7.1,2019-05-04 10:49:57
Ty Buttrey,LAA,1,1,0.75,12,0,0,12.0,11,1,1,0,3,16,1.22,1.167,8.3,3,12.0,2019-05-04 10:49:57
Trevor Cahill,LAA,1,2,5.93,6,6,0,30.1,31,20,20,9,10,25,6.63,1.3519999999999999,9.2,10,7.4,2019-05-04 10:49:57
Carlos Carrasco,CLE,2,2,6.0,5,5,0,21.0,27,14,14,3,5,33,2.7,1.524,11.6,5,14.1,2019-05-04 10:49:57
Andrew Cashner,BAL,4,1,4.18,6,6,0,32.1,32,16,15,5,13,20,5.11,1.392,8.9,13,5.6,2019-05-04 10:49:57
Diego Castillo,TBR,0,2,2.7,13,0,2,13.1,10,5,4,3,5,15,4.93,1.125,6.8,5,10.1,2019-05-04 10:49:57
Luis Castillo,CIN,3,1,1.23,6,6,0,36.2,21,5,5,1,14,43,2.53,0.955,5.2,14,10.6,2019-05-04 10:49:57
Miguel Castro,BAL,0,1,10.22,11,0,1,12.1,19,14,14,3,7,11,6.21,2.108,13.9,7,8.0,2019-05-04 10:49:57
Jhoulys Chacin,MIL,2,3,6.35,6,6,0,28.1,25,20,20,7,15,25,6.17,1.412,7.9,15,7.9,2019-05-04 10:49:57
Andrew Chafin,ARI,0,1,2.89,12,0,0,9.1,9,3,3,1,5,10,4.31,1.5,8.7,5,9.6,2019-05-04 10:49:57
Aroldis Chapman,NYY,0,1,2.38,12,0,5,11.1,9,3,3,0,3,16,1.37,1.0590000000000002,7.1,3,12.7,2019-05-04 10:49:57
Wei-Yin Chen,MIA,0,1,13.03,7,0,0,9.2,18,14,14,5,6,11,10.06,2.483,16.8,6,10.2,2019-05-04 10:49:57
Yonny Chirinos,TBR,3,0,3.55,5,3,0,25.1,18,10,10,5,5,22,4.55,0.9079999999999999,6.4,5,7.8,2019-05-04 10:49:57
Adam Cimber,CLE,2,2,4.63,14,0,0,11.2,5,7,6,1,3,11,3.13,0.6859999999999999,3.9,3,8.5,2019-05-04 10:49:57
Steve Cishek,CHC,0,1,5.59,11,0,0,9.2,10,6,6,1,4,11,3.44,1.4480000000000002,9.3,4,10.2,2019-05-04 10:49:57
Alex Claudio,MIL,0,1,4.73,15,0,0,13.1,8,7,7,1,6,8,4.26,1.05,5.4,6,5.4,2019-05-04 10:49:57
Alex Cobb,BAL,0,2,10.95,3,3,0,12.1,21,16,15,9,2,8,11.81,1.865,15.3,2,5.8,2019-05-04 10:49:57
Gerrit Cole,HOU,1,4,4.71,6,6,0,36.1,29,23,19,6,12,54,3.3,1.128,7.2,12,13.4,2019-05-04 10:49:57
Alex Colome,CHW,1,0,2.53,11,0,4,10.2,6,3,3,2,3,8,4.91,0.8440000000000001,5.1,3,6.8,2019-05-04 10:49:57
Adam Conley,MIA,0,3,8.38,13,0,1,9.2,16,9,9,1,4,10,3.96,2.069,14.9,4,9.3,2019-05-04 10:49:57
Patrick Corbin,WSN,2,0,2.48,5,5,0,32.2,24,10,9,5,6,39,3.38,0.9179999999999999,6.6,6,10.7,2019-05-04 10:49:57
Dylan Covey,CHW,0,1,6.75,2,0,0,1.1,2,2,1,0,2,0,7.63,3.0,13.5,2,0.0,2019-05-04 10:49:57
Kyle Crick,PIT,0,1,6.0,7,0,0,6.0,4,4,4,0,2,7,1.8,1.0,6.0,2,10.5,2019-05-04 10:49:57
Yu Darvish,CHC,2,3,5.02,6,6,0,28.2,23,17,16,7,22,33,6.62,1.57,7.2,22,10.4,2019-05-04 10:49:57
Zach Davies,MIL,2,0,1.65,5,5,0,27.1,27,7,5,2,10,19,3.9,1.354,8.9,10,6.3,2019-05-04 10:49:57
Wade Davis,COL,1,0,0.9,12,0,4,10.0,7,1,1,0,7,12,2.83,1.4,6.3,7,10.8,2019-05-04 10:49:57
Jacob deGrom,NYM,2,3,4.85,5,5,0,26.0,26,14,14,5,10,43,3.71,1.385,9.0,10,14.9,2019-05-04 10:49:57
Anthony DeSclafani,CIN,1,1,4.26,5,5,0,25.1,21,12,12,5,11,28,5.03,1.263,7.5,11,9.9,2019-05-04 10:49:57
Jake Diekman,KCR,0,1,3.86,14,0,0,11.2,6,5,5,0,6,13,3.48,1.0290000000000001,4.6,6,10.0,2019-05-04 10:49:57
Seranthony Dominguez,PHI,1,0,5.23,12,0,0,10.1,12,7,6,1,4,13,3.33,1.548,10.5,4,11.3,2019-05-04 10:49:57
Sean Doolittle,WSN,3,1,1.35,13,0,3,13.1,12,2,2,1,3,17,2.23,1.125,8.1,3,11.5,2019-05-04 10:49:57
Kyle Dowdy,TEX,1,1,5.27,6,1,0,13.2,12,9,8,2,11,11,5.84,1.683,7.9,11,7.2,2019-05-04 10:49:57
Danny Duffy,KCR,0,1,5.4,1,1,0,5.0,5,3,3,1,3,1,7.13,1.6,9.0,3,1.8,2019-05-04 10:49:57
Zach Duke,CIN,1,1,11.25,14,0,0,8.0,11,10,10,2,6,4,8.38,2.125,12.4,6,4.5,2019-05-04 10:49:57
Carl Edwards Jr.,CHC,0,1,32.4,4,0,0,1.2,3,6,6,2,5,2,25.33,4.8,16.2,5,10.8,2019-05-04 10:49:57
Jon Edwards,CLE,2,0,1.8,6,0,0,5.0,4,1,1,1,5,3,8.73,1.8,7.2,5,5.4,2019-05-04 10:49:57
Zach Eflin,PHI,2,3,4.15,5,5,0,26.0,30,14,12,6,5,23,4.94,1.3459999999999999,10.4,5,8.0,2019-05-04 10:49:57
Jerad Eickhoff,PHI,1,1,2.12,3,2,1,17.0,12,4,4,0,5,20,1.66,1.0,6.4,5,10.6,2019-05-04 10:49:57
Roenis Elias,SEA,2,0,2.16,14,0,4,16.2,12,7,4,0,6,14,2.53,1.08,6.5,6,7.6,2019-05-04 10:49:57
Marco Estrada,OAK,0,2,6.85,5,5,0,23.2,23,19,18,7,8,11,7.44,1.31,8.7,8,4.2,2019-05-04 10:49:57
Jeurys Familia,NYM,2,0,6.17,12,0,0,11.2,12,9,8,2,10,12,6.13,1.886,9.3,10,9.3,2019-05-04 10:49:57
Buck Farmer,DET,1,1,2.0,11,0,0,9.0,6,2,2,0,4,11,2.02,1.111,6.0,4,11.0,2019-05-04 10:49:57
